_______,_______,_._.Ê63,_._.-63,_._.Ê63,_._.Ê64,_._.-64,__._.Ê64,__._.Ê64,_._.Ê64,__._.Ê64,_._.Ê64,_._.Ê64,_._.Ê64,Mean
________,________,26.5,24.5,23.3,22.5,23.4,26.6,29.3,31.2,28.6,27.9,26.6,27.3,26.48
________,_____,26.5,24.6,23.5,23,24.7,28.5,31.5,31.1,29.7,28.2,26.8,27,27.09
________,__________,26.9,25.9,23.9,22.1,23.5,27.9,33.2,30.8,29.8,28.3,27.5,27.7,27.29
________,___,26.8,25.1,23.9,23.6,26.5,27.8,31.4,30.7,29.3,28.2,27.4,27.2,27.33
________,___________,26.8,25.1,23.9,23.6,26.5,27.8,31.4,30.7,29.3,28.6,27.4,27.2,27.36
________,______,27.8,26.1,24.1,23.9,26.9,28.2,33.8,29.1,28.4,27.9,28.1,27.8,27.68
________,____,27.6,26,24.3,23.8,25.9,28.9,31.9,31.2,30.4,28.4,27.7,27.8,27.83
________,______,27.7,26.4,24.2,24.5,27.1,28.4,33.6,29.6,28.6,28.1,28.2,27.6,27.83
________,_____,27,25.9,24.8,23.9,25.7,29.3,33.2,30.7,30.3,28.9,28.1,27.8,27.97
________,_________,27.3,26.7,25.2,24.1,25.9,29.1,32.5,30.9,29.8,28.6,27.9,27.8,27.98
________,_____,27.3,26.2,24.8,24.2,26.4,29.7,33.2,30.6,29.7,28,28.1,27.7,27.99
________,_________,27.4,26.1,25.4,25.3,28.2,29.3,32.4,30.4,28.7,27.8,28,27.2,28.02
________,____,27.5,26.3,25,24.2,26.4,29.4,33.5,30.6,29.6,28.9,28,27.7,28.09
________,_______,27.8,26.7,25.3,25.2,27.9,29.4,33.8,30,29.1,27.6,28.5,27.7,28.25
________,________,27.8,26.4,24.5,24.5,27.5,29.1,34,30.9,29.8,28.6,28.8,27.7,28.30
________,______,28.5,27,25.5,24.8,27.5,28.9,33.3,30.8,29.8,28.3,28.2,28.1,28.39
______,_______,28,26.5,27.2,27.3,28,28.7,29.9,30.9,29.5,28.6,28.3,27.9,28.40
________,________,28,26.2,24.8,24.3,27.3,28.9,33.6,31.2,30.8,29.3,28.3,28.2,28.41
_______,_________,28,27.4,26.3,26,28.4,30,32.8,29.6,28,27.4,28.5,28.7,28.43
______,_____________,27.9,26.5,26.9,27.2,27.6,28.5,30.3,30.9,30.3,28.6,28.4,28.4,28.46
______,_____,27.1,26.7,27.7,28.2,28.6,29.6,31,30.5,29.2,28,27.8,27.1,28.46
________,_______,28.5,27,25.5,24.8,27.5,28.9,33.3,30.9,30.2,28.7,28.2,28.1,28.47
______,_____,27.2,27.1,27.6,27.8,28.3,29,30.2,31,30.3,29,27.6,27.1,28.52
______,____________,27.2,26.3,26.6,27.2,27.9,29,30.9,31.6,30.8,29.5,28.2,27.4,28.55
______,____,27.8,27.2,28.3,28.7,29.5,30.1,30.4,29,28.6,27.7,28.1,27.2,28.55
________,_________,28.4,27,25.6,25.5,28.5,29.9,34.2,29.4,28.7,27.9,29.4,28.4,28.58
______,____,28.3,26.5,27.2,27.4,28,28.6,29.9,31.1,29.9,29.1,28.6,28.5,28.59
________,_________,28.3,27.1,25.6,25.3,27.9,29.7,34.4,29.9,29.1,28.7,29.2,28.3,28.63
______,_____,27.8,27,27,27.3,28.1,29.3,30.8,31,30.1,28.3,29,27.9,28.63
______,______,27.7,26.8,27.8,28.1,29,29.7,31,30.8,29.8,28.3,27.5,27.1,28.63
______,________,28.3,26.5,27.2,27.4,28,28.6,29.9,31.5,30.3,29.1,28.6,28.5,28.66
_______,______,27.9,27.3,26.5,25.9,27.9,30.1,32.3,30.6,29.4,28.8,28.9,28.7,28.69
_______,_________,27.6,27.2,26.7,26.2,28.4,30.1,32.9,30.6,29.3,29,28.4,28,28.70
___________,________,28.2,28,28.2,28.5,29,29.4,31.3,28.9,28.4,27.9,28.7,28.3,28.73
________,_________,28.3,27.8,26.7,25.6,27.8,30,33.3,30.3,29.3,28.4,28.8,28.6,28.74
________,_______,28,27.1,26.1,26,28.9,30.5,33.8,29.9,29.1,28.8,28.9,28,28.76
________,________,27.9,27,26,25.8,28.7,30.8,34.4,29.7,29,28.5,29.4,28,28.77
_______,_______,27.9,27.3,26.5,25.9,27.9,30.1,32.3,30.7,30.3,28.9,28.9,28.7,28.78
___________,____,27.6,28.2,28.6,28,28.8,29.2,30.8,30.3,29.2,28.7,28.3,27.7,28.78
__________,_______,28.7,27.8,27.7,27.4,28.7,29.6,31.3,29,28.6,27.7,29.7,29.3,28.79
________,__________,27.9,27,26,25.8,28.7,30.8,34.4,30.1,29.2,28.2,29.4,28,28.79
_______,________,27.9,27.3,26.5,25.9,27.9,30.1,32.3,31,30.3,29,28.9,28.7,28.82
______,____,27.7,26.8,27.8,28.1,29,29.7,31,31.6,30.8,29.5,27.5,27.1,28.88
______,______,27.8,27.2,28.1,28.3,29.2,29.6,30.6,31,30.3,29,27.9,27.8,28.90
______,_____,28.4,27.2,28.1,28.3,28.7,29.4,30.6,30.7,29.3,28.6,29.1,28.5,28.91
__________,___,27.5,26.8,25.6,25.4,28.5,31.4,34.2,30.3,30.3,29,29.3,28.6,28.91
_______,_________,28.7,27.8,27.7,27.4,28.7,29.6,31.3,29.7,28.6,28.5,29.7,29.3,28.92
________,__________,27.9,26.8,26,26.3,29.3,30,33.2,30.7,30.3,28.9,29.2,28.5,28.93
___________,_____,28.5,27.9,27.8,27.5,29.2,29.9,31.7,30.2,29,28.1,29.6,29,29.03
________,________,28.4,27,25.6,25.5,28.5,29.9,34.2,31.6,30.8,29.5,29.4,28.4,29.07
________,________,28,26.8,26.1,26.2,29.2,30.7,34.1,30.9,30.8,28.7,29,28.3,29.07
________,___________,27.9,27,26,25.8,28.7,30.8,34.4,31.5,30.3,29.1,29.4,28,29.08
________,_____,27.9,27,26,25.8,28.7,30.8,34.4,31.2,30.8,29.3,29.4,28,29.11
__________,_______________,28.7,28.1,27.6,27.2,28.4,29.7,31.6,30.7,30.3,28.9,29.9,28.8,29.16
__________,________,28.7,27.8,27.7,27.4,28.7,29.6,31.3,30.7,30.3,28.9,29.7,29.3,29.18
_______,______,28.7,27.8,27.7,27.4,28.7,29.6,31.3,30.8,30.1,29.4,29.7,29.3,29.21
_______,___________,28.7,27.8,27.7,27.4,28.7,29.6,31.3,31.2,30.8,29.3,29.7,29.3,29.29
_______,______,29,28.2,28,28,29.7,30.8,32.8,29.8,29.1,28.1,29.3,28.9,29.31
_______,_________,28.6,27.9,27.3,27,29.5,31.5,33.9,29.9,29.1,28.8,29.4,28.9,29.32
___________,__________,29.2,28.4,28.2,28.6,30.2,31,33.1,29.5,28.1,27.3,29.5,29,29.34
_______,_______,29.2,27.9,27.5,27.7,29.5,31.1,32.9,30.5,29.6,27.8,29.9,29.5,29.43
_______,__________,29.2,27.9,27.5,27.7,29.5,31.1,32.9,30.7,29.1,28.2,29.9,29.5,29.43
___________,__________,29.2,28.4,28.2,28.6,30.2,31,33.1,29.6,28.6,28.1,29.5,29,29.46
_______,_________,28.6,27.9,27.3,27,29.5,31.5,33.9,31.1,30.2,28.4,29.4,28.9,29.48
_______,_____________,29,28.7,28.9,29.3,29.8,30.7,32.4,29.3,28.8,28.3,30,29.1,29.53
_______,_______________,29.2,27.9,27.5,27.7,29.5,31.1,32.9,31,29.5,28.7,29.9,29.5,29.53
_______,_________,29,28.2,28,28,29.7,30.8,32.8,30.9,30.2,28.7,29.3,28.9,29.54
___________,_______,28.7,27.9,27.5,28,30.4,31,33.6,30.9,30.2,28.7,29.7,28.7,29.61
_______,_______,29,28.2,28,28,29.7,30.8,32.8,31.5,30.3,29.1,29.3,28.9,29.63
_______,______,28.6,27.9,27.3,27,29.5,31.5,33.9,31,31.2,29.5,29.4,28.9,29.64
__________,_________,28.7,27.7,27.6,28.2,30.2,31.5,33.7,30.8,29.8,28.3,30,29.6,29.68
______,______,28.6,28.5,29.2,29.7,30.9,31.3,32.1,30.9,29.8,28.6,28.6,28.2,29.70
___________,______,29.4,28.6,28.8,29.1,29.7,30.5,32.6,30.5,30,27.8,30.1,29.5,29.72
_______,_______,29.2,28.4,28.2,28.6,30.2,31,33.1,31.5,29.5,29.2,29.5,29,29.78
_______,________,29,28.7,28.9,29.3,29.8,30.7,32.4,31.1,30.2,28.4,30,29.1,29.80
